Row Labels, Average of Home Team Rating , Average of Home Team Possession % , Average of Home Team Off Target Shots , Average of Home Team On Target Shots , Average of Home Team Total Shots , Average of Home Team Blocked Shots , Average of Home Team Corners , Average of Home Team Throw Ins , Average of Home Team Pass Success % , Average of Home Team Aerials Won , Average of Home Team Clearances , Average of Home Team Fouls , Average of Home Team Yellow Cards , Average of Home Team Second Yellow Cards , Average of Home Team Red Cards , Average of Home Team Goals Scored , Average of Home Team Goals Conceeded 
ALAVÉS, 5.921053 , 43.789474 , 5.252632 , 3.473684 , 11.315789 , 2.621053 , 4.094737 , 23.315789 , 72.473684 , 21.915789 , 20.494737 , 15.200000 , 2.894737 , 0.084211 , 0.031579 , 1.052632 , 1.126316 
ALMERÍA, 5.957895 , 45.421053 , 5.842105 , 3.578947 , 11.526316 , 2.105263 , 5.421053 , 24.368421 , 70.105263 , 17.157895 , 24.473684 , 14.526316 , 3.263158 , 0.263158 , 0.052632 , 1.052632 , 1.473684 
ATHLETIC, 6.419549 , 51.263158 , 5.421053 , 4.503759 , 12.691729 , 2.766917 , 5.849624 , 24.120301 , 76.669173 , 22.406015 , 17.804511 , 13.751880 , 2.406015 , 0.015038 , 0.045113 , 1.458647 , 0.924812 
ATLETICO MADRID, 6.887970 , 50.443609 , 5.676692 , 4.954887 , 13.496241 , 2.872180 , 5.939850 , 22.774436 , 79.977444 , 17.225564 , 17.278195 , 13.323308 , 2.270677 , 0.060150 , 0.007519 , 1.849624 , 0.541353 
BARCELONA, 7.469925 , 66.285714 , 6.030075 , 7.488722 , 16.812030 , 3.293233 , 6.308271 , 18.661654 , 88.225564 , 10.052632 , 10.812030 , 10.473684 , 1.684211 , 0.015038 , 0.060150 , 2.969925 , 0.796992 
CÁDIZ CF, 5.884211 , 35.368421 , 4.421053 , 2.789474 , 8.473684 , 1.368421 , 3.210526 , 18.947368 , 68.684211 , 18.578947 , 17.210526 , 11.789474 , 2.157895 , -   , -   , 0.894737 , 1.578947 
CELTA, 6.327068 , 56.210526 , 5.090226 , 4.601504 , 12.691729 , 3.007519 , 5.150376 , 20.488722 , 80.699248 , 16.330827 , 17.631579 , 13.473684 , 2.473684 , 0.067669 , 0.052632 , 1.548872 , 1.330827 
CÓRDOBA, 5.994737 , 51.473684 , 5.842105 , 3.210526 , 11.578947 , 2.526316 , 4.894737 , 24.473684 , 75.842105 , 20.263158 , 23.315789 , 12.578947 , 2.210526 , 0.105263 , 0.052632 , 0.631579 , 1.736842 
DEPORTIVO, 6.359211 , 49.118421 , 5.960526 , 4.342105 , 13.236842 , 2.934211 , 5.697368 , 24.223684 , 76.552632 , 15.842105 , 20.355263 , 13.407895 , 2.486842 , 0.065789 , 0.039474 , 1.263158 , 1.578947 
EIBAR, 6.003008 , 50.842105 , 5.624060 , 4.308271 , 13.037594 , 3.105263 , 5.578947 , 27.699248 , 70.413534 , 24.097744 , 17.954887 , 13.774436 , 2.323308 , 0.037594 , 0.052632 , 1.270677 , 1.187970 
ELCHE, 5.986842 , 48.789474 , 4.315789 , 2.973684 , 9.368421 , 2.105263 , 3.973684 , 20.157895 , 78.789474 , 13.973684 , 19.105263 , 14.894737 , 2.763158 , 0.131579 , -   , 0.973684 , 1.421053 
ESPANYOL, 6.139474 , 48.026316 , 5.035088 , 4.166667 , 11.807018 , 2.605263 , 4.877193 , 21.780702 , 75.236842 , 18.087719 , 20.184211 , 15.500000 , 2.394737 , 0.070175 , 0.008772 , 1.192982 , 1.228070 
GETAFE, 6.015789 , 44.482456 , 5.070175 , 4.017544 , 11.798246 , 2.728070 , 5.096491 , 26.824561 , 67.947368 , 18.701754 , 18.921053 , 15.991228 , 2.938596 , 0.043860 , 0.078947 , 1.166667 , 0.885965 
GIJÓN, 6.247368 , 45.894737 , 4.842105 , 4.315789 , 11.736842 , 2.578947 , 5.026316 , 21.342105 , 73.342105 , 14.236842 , 19.342105 , 13.684211 , 2.710526 , 0.026316 , 0.052632 , 1.421053 , 1.736842 
GIRONA, 6.221053 , 49.526316 , 5.631579 , 4.131579 , 12.552632 , 2.789474 , 4.789474 , 20.763158 , 77.973684 , 20.078947 , 18.473684 , 15.578947 , 2.157895 , 0.052632 , 0.026316 , 1.131579 , 1.315789 
GRANADA, 5.946316 , 45.768421 , 5.326316 , 3.547368 , 11.505263 , 2.663158 , 4.863158 , 24.305263 , 72.989474 , 16.736842 , 18.842105 , 14.663158 , 2.778947 , 0.073684 , 0.073684 , 1.126316 , 1.273684 
HUESCA, 6.247368 , 49.026316 , 5.973684 , 4.315789 , 13.000000 , 2.763158 , 5.105263 , 21.815789 , 75.815789 , 18.500000 , 17.157895 , 14.552632 , 2.447368 , 0.026316 , -   , 1.078947 , 1.342105 
LAS PALMAS, 6.580702 , 58.736842 , 5.122807 , 4.649123 , 12.315789 , 2.666667 , 4.842105 , 22.052632 , 83.000000 , 12.842105 , 15.508772 , 11.947368 , 2.385965 , 0.035088 , 0.035088 , 1.280702 , 1.403509 
LEGANÉS, 5.997368 , 45.605263 , 5.328947 , 3.789474 , 11.894737 , 2.789474 , 4.355263 , 25.065789 , 71.697368 , 20.684211 , 18.171053 , 15.671053 , 2.684211 , 0.039474 , 0.065789 , 1.013158 , 1.105263 
LEVANTE, 5.950000 , 47.210526 , 5.131579 , 3.991228 , 11.964912 , 2.894737 , 5.157895 , 21.491228 , 75.429825 , 15.000000 , 18.815789 , 13.912281 , 2.578947 , 0.105263 , 0.070175 , 1.368421 , 1.464912 
MÁLAGA, 6.553947 , 48.855263 , 5.960526 , 4.815789 , 13.802632 , 3.026316 , 5.644737 , 23.315789 , 74.776316 , 17.302632 , 17.447368 , 14.947368 , 2.736842 , 0.092105 , 0.092105 , 1.289474 , 1.144737 
MALLORCA, 5.984211 , 42.894737 , 5.052632 , 3.631579 , 11.000000 , 2.368421 , 4.684211 , 21.368421 , 76.052632 , 18.210526 , 16.368421 , 14.315789 , 2.631579 , 0.157895 , 0.052632 , 1.315789 , 1.157895 
OSASUNA, 5.796491 , 45.280702 , 5.368421 , 4.122807 , 12.017544 , 2.578947 , 4.473684 , 25.035088 , 69.736842 , 22.596491 , 18.701754 , 14.649123 , 2.526316 , 0.035088 , 0.070175 , 1.228070 , 1.596491 
RAYO VALLECANO, 6.310526 , 54.578947 , 5.701754 , 4.947368 , 13.491228 , 2.842105 , 5.421053 , 28.070175 , 76.473684 , 17.736842 , 20.684211 , 14.561404 , 2.877193 , 0.087719 , 0.157895 , 1.403509 , 1.526316 
REAL BETIS, 6.195614 , 55.473684 , 5.149123 , 4.473684 , 13.000000 , 3.377193 , 5.157895 , 20.701754 , 81.307018 , 14.508772 , 17.245614 , 13.043860 , 2.543860 , 0.078947 , 0.052632 , 1.403509 , 1.333333 
REAL MADRID, 7.205263 , 59.932331 , 7.300752 , 7.323308 , 18.473684 , 3.849624 , 6.954887 , 20.225564 , 87.789474 , 11.842105 , 12.330827 , 11.127820 , 1.699248 , 0.037594 , 0.052632 , 2.571429 , 0.827068 
REAL SOCIEDAD, 6.381203 , 55.421053 , 5.669173 , 4.466165 , 13.421053 , 3.308271 , 6.082707 , 23.684211 , 79.699248 , 18.022556 , 16.691729 , 13.263158 , 2.120301 , 0.060150 , 0.030075 , 1.639098 , 1.165414 
SEVILLA FC, 6.621805 , 57.330827 , 6.022556 , 5.263158 , 14.248120 , 2.977444 , 6.165414 , 21.090226 , 81.842105 , 17.150376 , 16.518797 , 14.736842 , 2.586466 , 0.037594 , 0.015038 , 1.789474 , 0.879699 
VALENCIA, 6.506015 , 49.127820 , 5.390977 , 4.691729 , 12.834586 , 2.766917 , 5.368421 , 19.458647 , 80.172932 , 15.781955 , 19.812030 , 13.398496 , 2.240602 , 0.052632 , 0.030075 , 1.669173 , 0.992481 
VALLADOLID, 5.878947 , 46.894737 , 5.052632 , 3.456140 , 10.614035 , 2.122807 , 4.771930 , 21.175439 , 75.543860 , 15.824561 , 17.947368 , 13.824561 , 2.368421 , -   , 0.035088 , 0.929825 , 1.245614 
VILLARREAL, 6.450376 , 52.353383 , 5.481203 , 4.939850 , 13.503759 , 3.090226 , 5.383459 , 20.338346 , 80.766917 , 14.669173 , 18.939850 , 13.052632 , 2.308271 , 0.045113 , 0.052632 , 1.646617 , 1.075188 
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,